user_id,place_id,label,interaction_type,user_age,user_budget,user_crowd_preference,place_category,place_rating,place_cost,place_crowd_level,place_city,category_in_preferences,budget_match,crowd_match
1,37,3,preview_viewed,42,500.0,very_low,shopping,4.01,614.45,low,Mumbai,0,1,0
1,440,3,preview_viewed,42,500.0,very_low,historical,4.0,1810.83,very_high,Jaipur,1,0,0
1,18,3,route_requested,42,500.0,very_low,food,4.62,521.59,very_low,Mumbai,1,1,1
1,440,0,skip,42,500.0,very_low,historical,4.0,1810.83,very_high,Jaipur,1,0,0
1,555,3,route_requested,42,500.0,very_low,food,4.71,738.28,low,Kerala,1,1,0
1,572,1,click,42,500.0,very_low,food,2.52,642.31,very_high,Kerala,1,1,0
1,464,1,click,42,500.0,very_low,nature,4.11,508.2,high,Jaipur,1,1,0
1,555,1,click,42,500.0,very_low,food,4.71,738.28,low,Kerala,1,1,0
1,562,1,click,42,500.0,very_low,shopping,3.37,127.7,high,Kerala,0,1,0
1,5,1,click,42,500.0,very_low,historical,4.19,1850.04,moderate,Mumbai,1,0,0
1,236,1,search,42,500.0,very_low,food,4.54,562.14,very_high,Kolkata,1,1,0
1,154,1,search,42,500.0,very_low,cultural,4.32,597.66,very_low,Delhi,0,1,1
1,280,0,skip,42,500.0,very_low,religious,4.29,399.12,very_low,Kolkata,0,1,1
1,546,1,search,42,500.0,very_low,nature,3.99,583.85,low,Kerala,1,1,0
1,547,3,preview_viewed,42,500.0,very_low,food,4.04,626.0,high,Kerala,1,1,0
1,254,1,click,42,500.0,very_low,historical,4.58,1917.84,very_low,Kolkata,1,0,1
1,236,3,route_requested,42,500.0,very_low,food,4.54,562.14,very_high,Kolkata,1,1,0
1,547,1,click,42,500.0,very_low,food,4.04,626.0,high,Kerala,1,1,0
1,610,1,click,42,500.0,very_low,cultural,4.52,575.26,high,Rajasthan,0,1,0
1,142,3,preview_viewed,42,500.0,very_low,nature,4.74,699.22,high,Delhi,1,1,0
1,610,3,preview_viewed,42,500.0,very_low,cultural,4.52,575.26,high,Rajasthan,0,1,0
1,464,3,route_requested,42,500.0,very_low,nature,4.11,508.2,high,Jaipur,1,1,0
1,328,3,preview_viewed,42,500.0,very_low,museum,4.71,432.52,high,Chennai,0,1,0
1,51,1,click,42,500.0,very_low,nature,3.86,636.89,very_high,Mumbai,1,1,0
1,142,1,click,42,500.0,very_low,nature,4.74,699.22,high,Delhi,1,1,0
